"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"@Football_Brony @TheGambleHorse Your voice isn’t that bad; are you...Ok?",FALSE,0,"Football_Brony","2019-04-18 22:23:57",FALSE,"1119003034292506624","1119003660514676736","2348444348","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JoshuaJ70318794",0,FALSE,FALSE,NA,NA,"Tennessee, USA"
"Hype Sports Today just added a new clip on instagram. Click the link below to see it <U+27A1> Repost from @mwsnsports. Foo… https://t.co/AYdKwMxtwt",FALSE,0,NA,"2019-04-18 22:23:54",TRUE,NA,"1119003649307496448",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MWSNhighlights",0,FALSE,FALSE,NA,NA,"United States"
"Former SV captain and now captain for Alfred University football. He has always been a natural leader. I am a proud… https://t.co/LQXkx422jg",FALSE,3,NA,"2019-04-18 22:23:53",TRUE,NA,"1119003646119817216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","damann44",0,FALSE,FALSE,NA,NA,"NY,CT"
"@Ms_TayTae My wife always thanks God that I’m not into video games. Like I don’t occupy my time with flag football on the weekends lol.",FALSE,1,"Ms_TayTae","2019-04-18 22:23:52",FALSE,"1119003341940502528","1119003639794806784","101939948","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GQStatus_",0,FALSE,FALSE,NA,NA,"Maryland, USA"
"Wisconsin offensive coordinator Joe Rudolph discusses offensive line, quarterbacks https://t.co/yVXb6Rmze4",FALSE,0,NA,"2019-04-18 22:23:47",FALSE,NA,"1119003620589092864",NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>","JakeKocoB5Q",0,FALSE,FALSE,NA,NA,"Madison, WI"
"People Gotta Realize, Us Doing Track, Football, Basketball etc.. It’s bigger than Offers and Clout.. ITS BIGGER THAN US<U+2757><U+FE0F>#AGNO",FALSE,0,NA,"2019-04-18 22:23:46",FALSE,NA,"1119003613588873216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GaddyJayy",0,FALSE,FALSE,NA,NA,"Raleigh, NC"
"@Luhh_Shayyy This football player from Crenshaw and his dad is a football coach in Beverley hills",FALSE,0,"Luhh_Shayyy","2019-04-18 22:23:39",FALSE,"1119001707760037888","1119003584010518528","279571069","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LilPrepaid",0,FALSE,FALSE,NA,NA,"North Carolina, USA"
"Oooh, the #Browns have a Sunday Night Football game this year. Caliente! #NFLScheduleRelease",FALSE,0,NA,"2019-04-18 22:23:36",FALSE,NA,"1119003573805776896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","double_oh_Pop",0,FALSE,FALSE,NA,NA,"Montréal, Canada"
"Just an FYI...as a Mizzou alum and mega-fan, I will report on our athletes participating in the kU Relays, but I wi… https://t.co/ZrZ10UTf75",FALSE,1,NA,"2019-04-18 22:23:24",TRUE,NA,"1119003520592748544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ameritimesports",0,FALSE,FALSE,NA,NA,"Festus, MO"
"Last lower body session before spring ball kicks off for Yulee Football. 95% day. Still working on technique and mo… https://t.co/3wa8qFFtMC",FALSE,0,NA,"2019-04-18 22:23:23",TRUE,NA,"1119003519204433920",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","GPAStrength",0,FALSE,FALSE,NA,NA,"Fernandina Beach, FL"
"@SkepticalMJ The constant coverage of football has taken a lot of enjoyment out of football for me.",FALSE,1,"SkepticalMJ","2019-04-18 22:23:01",FALSE,"1118876995906101248","1119003427353313280","23395391","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samsonbeard",0,FALSE,FALSE,NA,NA,"Green Bay, WI"
"@BigRed_Football @CUejhenderson @thakuze “Sink to Plant”",FALSE,1,"BigRed_Football","2019-04-18 22:22:59",FALSE,"1118991889078919168","1119003419447123968","2647725030","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoachHoags",0,FALSE,FALSE,NA,NA,"Ithaca, NY"
"2019 NFL Draft: Why Alabama's Quinnen Williams could be the Falcons' first-round pick - National Football League Ne… https://t.co/qFVA6eWjqQ",FALSE,0,NA,"2019-04-18 22:22:58",TRUE,NA,"1119003411393855488",NA,"<a href=""http://sportstreamings.com"" rel=""nofollow"">sportstream365</a>","NYSportsNews365",0,FALSE,FALSE,NA,NA,"United States"
"Falcons' 2019 schedule begins with the toughest stretch of the season - National Football League News -… https://t.co/ozi3DnyUxg",FALSE,0,NA,"2019-04-18 22:22:46",TRUE,NA,"1119003361217400832",NA,"<a href=""http://sportstreamings.com"" rel=""nofollow"">sportstream365</a>","NYSportsNews365",0,FALSE,FALSE,NA,NA,"United States"
"@JuliusGoat ""San Demas high school football rules!!""",FALSE,0,"JuliusGoat","2019-04-18 22:22:45",FALSE,"1119002069459984384","1119003357589405696","14869615","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NebulosaEnigma1",0,FALSE,FALSE,NA,NA,"United States"
"#TBT to last year’s SDSU Football “Be the Match” Drive! Be a part of it this year!

Visit: https://t.co/GmYBS88Mu2… https://t.co/MCUkYVRiy1",FALSE,0,NA,"2019-04-18 22:22:45",TRUE,NA,"1119003357497253888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Coach_Eck",0,FALSE,FALSE,NA,NA,"Brookings, SD"
"@andygoldstein05 @jasoncundy05 Racism has always been here. Right-wing extremism and #Brexit have helped to exascer… https://t.co/FKrFxxpdyo",FALSE,0,"andygoldstein05","2019-04-18 22:22:42",TRUE,NA,"1119003346025603072","19612883","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","popcornreel",0,FALSE,FALSE,NA,NA,"California"
"@MakhiGibson_ PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic que… https://t.co/JaJmIyOIoZ",FALSE,0,"MakhiGibson_","2019-04-18 22:22:38",TRUE,NA,"1119003331202961408","891843136498139136","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"@FleeBuddyKen PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic que… https://t.co/GR63z43Rpr",FALSE,0,"FleeBuddyKen","2019-04-18 22:22:33",TRUE,NA,"1119003308721459200","804143607120805888","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"Welcoming @SullyErna of @godsmack to @LoudwireNights tonight!
The band has created the Scars Foundation and we will… https://t.co/hFImHWrH01",FALSE,1,NA,"2019-04-18 22:22:27",TRUE,NA,"1119003281362247680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","banana1015radio",0,FALSE,FALSE,NA,NA,"Flint, MI"
"@Slinkooo PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic questio… https://t.co/lvMmEFlrs9",FALSE,0,"Slinkooo","2019-04-18 22:22:25",TRUE,NA,"1119003273975832576","833441693076713472","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"Fun watching @umassfootball last #Springball #football practice before #SpringGame Saturday
Super proud of you… https://t.co/KJ6h8NioHe",FALSE,0,NA,"2019-04-18 22:22:24",TRUE,NA,"1119003272482893824",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sidneytjohnson",1,FALSE,FALSE,"-72.53667091","42.37726449","Jacksonille Florida"
