"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"golf ball sized hail @ Hamilton KS - 67.4mi E of Wichita KS https://t.co/txY6NwPGOs",FALSE,0,NA,"2019-04-18 03:00:38",FALSE,NA,"1118710903606738944",NA,"<a href=""http://www.interactivehailmaps.com/"" rel=""nofollow"">Michael Harkness</a>","ihailmaps",1,FALSE,FALSE,"-96.16","37.98","USA"
"@SarahSpain My Tiger take? Who the f cares? All I care about is his golf game.",FALSE,0,"SarahSpain","2019-04-18 03:00:09",FALSE,"1118710255201005568","1118710779648335872","18494981","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jorgovan45",0,FALSE,FALSE,NA,NA,"Florida"
"@RealMikeWilbon @DrewWilderTV @NC5_BreeSmith Wilbon is right, they could’ve gone to picture in picture, golf in the… https://t.co/VZKDbnCDK1",FALSE,0,"RealMikeWilbon","2019-04-18 03:00:08",TRUE,"1117557949268938752","1118710775877644288","284089166","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DuaneTravis",0,FALSE,FALSE,NA,NA,"Maryland, USA"
"@jmazzjd got me addicted to goofing around on @fantasynational during the Masters, so I'll be dabbling in golf agai… https://t.co/Sm0MB5F33q",FALSE,18,"jmazzjd","2019-04-18 03:00:07",TRUE,NA,"1118710770609659904","578292793","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndyMSFW",3,FALSE,FALSE,NA,NA,"Minnesota, USA"
"""They call it golf because all the other four letter words were taken.""
- Ray Floyd
#golf #golfseason #pga… https://t.co/o2SgUWmIBZ",FALSE,0,NA,"2019-04-18 03:00:06",TRUE,NA,"1118710769145843712",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Golf_Paradise18",1,FALSE,FALSE,NA,NA,"United States"
"11:00 PM 47.5 57 pct 0.8 SSW%  Contribute to AMSAT -SUPPORT GOLF",FALSE,0,NA,"2019-04-18 03:00:04",FALSE,NA,"1118710761398906880",NA,"<a href=""http://www.weather-display.com"" rel=""nofollow"">Weather Display Tweet</a>","NYSATGUY",0,FALSE,FALSE,NA,NA,"Northport"
"While much of the golf world is still soaking up the aftermath of Tiger’s Masters win, the PGA Tour rolls on to Har… https://t.co/A4VCpXTEJ7",FALSE,0,NA,"2019-04-18 03:00:04",TRUE,NA,"1118710758714552320",NA,"<a href=""http://follow.golf"" rel=""nofollow"">Follow Golf</a>","FollowDotGolf",0,FALSE,FALSE,NA,NA,"Gainesville, FL"
"It's already time to enter the lottery for your chance to win 2020 Ryder Cup tickets. https://t.co/xVDpOLEvth",FALSE,19,NA,"2019-04-18 03:00:00",FALSE,NA,"1118710744281956352",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","GOLF_com",3,FALSE,FALSE,NA,NA,"New York City"
"@EricTrump And of course context is removed from both clips so we have no idea if he is comparing apples to apples or apples to golf balls.",FALSE,0,"EricTrump","2019-04-18 02:59:56",FALSE,"1118699041720815616","1118710726905028608","39349894","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BenignVanilla",0,FALSE,FALSE,NA,NA,"Maryland, USA"
"I think I’m a fan of Le Batard and Friends podcasts. (Plus Barstool Golf) https://t.co/UXeMSost7V",FALSE,0,NA,"2019-04-18 02:59:50",FALSE,NA,"1118710700849844224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","C_Avery2",0,FALSE,FALSE,NA,NA,"Statesboro, GA"
